test_crps,test_week,n_close_players
0.035721323594889845,1,1
0.05085788971212782,2,1
0.040884456020641155,3,1
0.038374339690280125,4,1
0.03806545789481275,5,1
0.03760201479153349,6,1
0.0534668025989292,7,1
0.04164307581057054,8,1
0.039698190344498584,9,1
0.04161530785635252,10,1
0.03798698445714753,11,1
0.03042897505684198,12,1
0.030584549674330504,13,1
0.04116232396991014,14,1
0.034172776106394076,15,1
0.047456495445312975,16,1
0.037937601898737135,17,1
0.028310166736924484,1,2
0.02956026747889067,2,2
0.03171325816745798,4,2
0.03401388347368853,5,2
0.029825457457013645,6,2
0.02872479225387315,7,2
0.02939905745219189,8,2
0.032135536689677766,9,2
0.031107454558372834,10,2
0.030531176323522535,11,2
0.03021588644645318,12,2
0.026609014132082075,13,2
0.0283937311601221,14,2
0.02627159795743425,15,2
0.029365347389762524,17,2
0.028742434540024734,1,3
0.029662955802480295,2,3
0.031951649357215374,4,3
0.03319202992134421,5,3
0.029967283650926588,6,3
0.02906312877439267,7,3
0.02960273696484282,8,3
0.032458816979729035,9,3
0.03143386035525096,10,3
0.03062402908163132,11,3
0.030568409553574327,12,3
0.027516603958709276,13,3
0.02869643697472833,14,3
0.02641875782270742,15,3
0.029614199753705064,17,3
0.02844067543570365,1,4
0.029750959022956068,2,4
0.032071949296809135,4,4
0.03401449132790734,5,4
0.030079220182674664,6,4
0.02925562192351628,7,4
0.029766510360218837,8,4
0.03252908588510566,9,4
0.0315446912830741,10,4
0.031396343424173884,11,4
0.03135153232394911,12,4
0.02690060075523965,13,4
0.028766321822476897,14,4
0.026571212832802255,15,4
0.02983493267553607,17,4
0.026186666586143784,3,2
0.02466618620056996,16,2
0.025470335198184528,3,3
0.023310557863762828,16,3
0.024698153598321445,3,4
0.022034802310363283,16,4
