test_crps,test_yac_rmse,test_week,n_close_players
0.047672528187910575,6.125352075502011,1,1
0.05089532708615997,6.391133062414924,2,1
0.053537911736278636,6.34120151055,3,1
0.05634382944725279,6.792018763145807,4,1
0.05583029424111691,6.680519215491481,5,1
0.05185681306150619,6.897042155404055,6,1
0.048340555202742,5.907710999125205,7,1
0.05068470644612489,6.174797709175441,8,1
0.0547344439139757,7.00923680759981,9,1
0.054379068299487125,6.601628580191826,10,1
0.05188601170192699,6.897935382763514,11,1
0.052910667690415754,6.755718203482415,12,1
0.04661107925618925,5.598081259953364,13,1
0.048484183980744236,6.634639673063498,14,1
0.04474817061421636,5.28658286128099,15,1
0.047630466546898106,5.768902031472201,16,1
0.04989688415207869,6.115184501876951,17,1
0.04296895109113884,5.726091967071671,1,2
0.04613994270301183,6.0156502010703345,2,2
0.04747087672038779,5.88986527474463,3,2
0.04991453737026281,6.258236144239083,4,2
0.04996143776755236,6.249832543107003,5,2
0.045700210084842575,6.381985599314455,6,2
0.043210552872128036,5.609616065758218,7,2
0.04474126691314455,5.739327850901257,8,2
0.04925975091540551,6.716864693883807,9,2
0.04806783310162567,6.1974269484343205,10,2
0.04760642532522353,6.664995181104937,11,2
0.04754277626789817,6.420015245447986,12,2
0.04140636916496059,5.261443225377791,13,2
0.044134652624019534,6.274283484554309,14,2
0.040933104155081376,4.924220309706865,15,2
0.04140434167187158,5.338152946131236,16,2
0.04489694854693576,5.7052216035385594,17,2
0.043432106758748666,5.7864157065557364,1,3
0.046643316743566074,6.056694749945594,2,3
0.04845885418085222,5.967861065509183,3,3
0.05060220095547273,6.3020732880540145,4,3
0.05106570095837445,6.331410029606819,5,3
0.04621908541928199,6.394538770465225,6,3
0.04382580802963991,5.651364092862121,7,3
0.045387656714188845,5.781433726080678,8,3
0.050237056870654086,6.782615989906347,9,3
0.048866123908680115,6.254247899908456,10,3
0.048473349356313554,6.729059221344055,11,3
0.048185955169533716,6.421715371344988,12,3
0.04181389853801,5.236422288110904,13,3
0.04470928714773958,6.311548218572689,14,3
0.04104719892481478,4.910039349613895,15,3
0.0424803831459351,5.4241437477525745,16,3
0.04565436312164678,5.743488124385533,17,3
0.04408656886314722,5.859898436054762,1,4
0.047416567152868766,6.106477179002561,2,4
0.04944062755775092,6.0506367911175865,3,4
0.05156882664608852,6.391416203889392,4,4
0.05216198969548929,6.42852297945926,5,4
0.04705852511613865,6.46255276409107,6,4
0.04469312620054031,5.700568967041595,7,4
0.04645809410196883,5.850840039597573,8,4
0.051096608186098666,6.846792167827704,9,4
0.049979112257679585,6.322527264147445,10,4
0.04962980150757337,6.78166723100532,11,4
0.0490568964733749,6.501333457293335,12,4
0.042434243096812894,5.269188773355531,13,4
0.04523839283215492,6.35993260471137,14,4
0.04153965560322585,4.946762202724225,15,4
0.04348288882892853,5.497393231399445,16,4
0.046522249720169606,5.803497011396995,17,4
0.04451999280933691,5.8786257466893614,1,5
0.047843793797883394,6.143595722164639,2,5
0.05008305259482485,6.106236338667347,3,5
0.05212877317428599,6.439364098070613,4,5
0.052762800987369796,6.474477613174796,5,5
0.04771905454255252,6.510810562095653,6,5
0.04509540713918988,5.701283885192418,7,5
0.047202355938594835,5.908363852625372,8,5
0.05193185764319188,6.90820195896923,9,5
0.05066126386869829,6.36283933780176,10,5
0.05013619896996419,6.818366486264619,11,5
0.049881582159432294,6.548332194252711,12,5
0.04286892668199568,5.307354627905094,13,5
0.04565024482411511,6.390759143964919,14,5
0.041859441263939284,4.9665875568912234,15,5
0.044211192061391076,5.535479996088587,16,5
0.04736800329259927,5.872410463261559,17,5
