test_crps,test_yac_rmse,test_week
0.05754397129862682,6.811348625498123,1
0.060732868103076224,7.216496269828185,2
0.06596166849490304,7.703534549605261,3
0.06528578952379792,7.478590615614521,4
0.06854822728849899,7.695533348353517,5
0.061725497093549415,7.510499045232459,6
0.05924917064969013,6.7266573462712564,7
0.06189128177389898,7.045284655665061,8
0.06691718226562504,7.83897338119903,9
0.06482321787695264,7.372834950051333,10
0.0629524251689319,7.726165818059167,11
0.0632932497525074,7.546473783785799,12
0.05559492484864479,6.237177938736266,13
0.05870523053899704,7.529691098145046,14
0.05380225591965875,5.923084245909541,15
0.06048348677687097,6.748007291622185,16
0.06122089105133022,6.85249485206468,17
