test_crps,test_yac_rmse,test_week
0.058532571882518966,6.8146447905627365,1
0.06150326843371586,7.221582074901057,2
0.0669354674220524,7.71027609260008,3
0.06625663821929116,7.48543600096176,4
0.06965310263670103,7.699852434447358,5
0.06276078049134959,7.51963199090446,6
0.05994250071710122,6.732241393815499,7
0.06275095378602533,7.048787840742885,8
0.06786252004823598,7.850714313548073,9
0.06613125187898845,7.382933060057055,10
0.06374700138112191,7.7329205215533134,11
0.0641229738947187,7.5566502656599255,12
0.056431315576760024,6.239377176053676,13
0.059655280440591804,7.5292121450348,14
0.05419987951989565,5.91836331767238,15
0.06119345956115747,6.753074053410299,16
0.062022366218363024,6.863325631083591,17
