test_crps,test_week,n_close_players
0.024906306216600956,1,1
0.02732693830997586,2,1
0.028174291193735497,3,1
0.02789777005685294,4,1
0.02865254097649948,5,1
0.02603034866512046,6,1
0.02465905543766068,7,1
0.034253311633540146,8,1
0.028906698390573565,9,1
0.02668545883986432,10,1
0.02660582356307958,11,1
0.026634079794272073,12,1
0.024812251309594805,13,1
0.024396043419607456,14,1
0.02283758118313543,15,1
0.02653567106378124,16,1
0.026013799105814056,17,1
0.022071425743936873,1,2
0.023078035600597267,2,2
0.024932424964553026,3,2
0.02501445052272028,4,2
0.025423196918535083,5,2
0.023066444758867384,6,2
0.02243183519943117,7,2
0.022631120642306143,8,2
0.02513406831481317,9,2
0.024284634205170956,10,2
0.024897916369776327,11,2
0.023889607398974912,12,2
0.021265120775711136,13,2
0.02251121434487494,14,2
0.02173687636523491,15,2
0.02178428727245344,16,2
0.02369217868247237,17,2
0.021686631044702174,1,3
0.02318768901373776,2,3
0.025011166392875296,3,3
0.024852352844009228,4,3
0.025650048566298208,5,3
0.023077953836652735,6,3
0.02198342846746538,7,3
0.022569905414854565,8,3
0.025183738138468144,9,3
0.024154370539340036,10,3
0.024591449433872866,11,3
0.023989931740646227,12,3
0.021127679906321088,13,3
0.0221851175629023,14,3
0.02104131587533153,15,3
0.021548235112608408,16,3
0.02300185681324139,17,3
0.021517447636472214,1,4
0.02317851129549983,2,4
0.025106581510328876,3,4
0.025100910395155003,4,4
0.02567892613728021,5,4
0.023012069884003932,6,4
0.02176565577594975,7,4
0.022594562019132333,8,4
0.025275080339453523,9,4
0.0242530169675001,10,4
0.024706434842547694,11,4
0.023847709326688858,12,4
0.021007308254236242,13,4
0.022215661829860595,14,4
0.02092847423260889,15,4
0.021335641700550183,16,4
0.023270429080822306,17,4
0.02163797263833682,1,5
0.023292688421908146,2,5
0.025162705720630955,3,5
0.025284214134727766,4,5
0.025845575520030358,5,5
0.023244722639495854,6,5
0.021898205267206292,7,5
0.02290184441614733,8,5
0.0254748193937695,9,5
0.0243496719709264,10,5
0.02473127439765268,11,5
0.024019693043673653,12,5
0.02108439589326094,13,5
0.02225188000867371,14,5
0.02086170259087894,15,5
0.021395490582603444,16,5
0.023296613357145023,17,5
